Category,Initiative Name,Initiative Description,Severity,Control ID,DevOps Control Name,Control Description,Recommendation,Code
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,High,DOS1170,Disallow SSH authentication,SSH authentication should be disabled. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/use-ssh-keys-to-authenticate?view=azure-devops,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. Application connection policies.  4. Turn 'Off' the setting 'SSH authentication'.,ADO_ORGANIZATION_POLICIES_APPCONNECTION_DISABLE_SSH_ACCESS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,High,DOS1240,Disallow team and project administrators to invite new users,Disallow team and project administrators to invite new users. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/restrict-invitations,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. User policies.  4. Turn 'Off' the setting 'Allow team and project administrators to invite new users'.,ADO_ORGANIZATION_POLICIES_USER_DISABLE_TEAM_ADMINS_INVITATIONS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,High,DOS1200,Enable Log Audit Events,Log Audit Events. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#review-auditing-events https://learn.microsoft.com/en-us/azure/devops/organizations/audit/azure-devops-auditing,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. Security policies.  4. Turn 'On' the setting 'Log Audit Events'.  5. Make sure you configure at least one stream under General -> Auditing -> Streams.,ADO_ORGANIZATION_POLICIES_SECURITY_ENABLE_LOG_AUDIT_EVENTS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,High,DOS1190,Enforce AAD Conditional Access,Enable Azure Active Directory Conditional Access Policy Validation. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/accounts/change-application-access-policies,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. Security policies.  4. Turn 'On' the setting 'Enable Azure Active Directory Conditional Access Policy Validation'.,ADO_ORGANIZATION_POLICIES_SECURITY_ENABLE_AAD_CONDITIONAL_ACCESS
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,Critical,DOS2120,All Repositories - Security Permissions - Do not allow bypassing policies,Protect important branches across all repositories in this project. This policy will ensure that no user has permissions to bypass policies. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#secure-azure-repos https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-permissions,"1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Security tab.  4. On the page 'User permissions', ensure the 'Bypass policies when completing pull requests' and 'Bypass policies when pushing' user permisions are 'Not set' or 'Deny'.",ADO_PROJECT_ALLREPOSITORIES_SECURITYPERMISSIONS_DONT_ALLOW_BYPASS_POLICIES
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,Critical,DOS2330,Ensure project visibility is set to Private,Ensure project visibility is always private. Private projects require users to be granted access to the project and signed in to access the services. Learn more: https://docs.microsoft.com/en-us/azure/devops/organizations/public/make-project-public,"1. Go to Project Overview -> Summary.  2. On top right, make sure the project is labeled 'Private'.",ADO_PROJECT_PRIVATE_VISIBILITY
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2010,All Repositories - Branch Policies - Automatically include code reviewers,"Protect important branches across all repositories in this project. Enable the 'Automatically included reviewers' branch policy, so that you can automatically add reviewers to pull requests that change files in specific directories and files, or to all pull requests in a repo. This policy will ensure that required reviewers are added for modified files matching specified patterns. Designate code reviewers to automatically include when pull requests change certain areas of code. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-policies#automatically-include-code-reviewers https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Branch Policies' section, click on a branch from the list or click '+' to add a branch protection across all repositories.  5. On the page 'Cross-Repository policies for' selected branch, under 'Automatically included reviewers' section, click on '+' button to add a new reviewer policy.  6. Ensure at least one policy is enabled.",ADO_PROJECT_ALLREPOSITORIES_BRANCHPOLICY_AUTOMATICALLY_INCLUDE_CODE_REVIEWERS
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2020,All Repositories - Branch Policies - Check for comment resolution,"Protect important branches across all repositories in this project. Enable the 'Check for comment resolution' branch policy, so that you require all PR comments to be resolved when pull requests are completed. This policy checks to see that all comments have been resolved on pull requests. Block pull requests from being completed while any comments are active. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-policies#check-for-comment-resolution https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Branch Policies' section, click on a branch from the list or click '+' to add a branch protection across all repositories.  5. On the page 'Cross-Repository policies for' selected branch, under 'Branch Policies' section, turn 'On' the policy 'Check for comment resolution'.  6. Configure the policy to be 'Required'.",ADO_PROJECT_ALLREPOSITORIES_BRANCHPOLICY_CHECK_FOR_COMMENT_RESOLUTION
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2030,All Repositories - Branch Policies - Check for linked work items,"Protect important branches across all repositories in this project. Enable the 'Check for linked work items' branch policy, so that you require associations between PRs and work items when pull requests are completed. This policy will ensure work item management tracking by requiring associations between PRs and work items. Block pull requests from being completed unless they have at least one linked work item. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-policies#check-for-linked-work-items https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Branch Policies' section, click on a branch from the list or click '+' to add a branch protection across all repositories.  5. On the page 'Cross-Repository policies for' selected branch, under 'Branch Policies' section, turn 'On' the policy 'Check for linked work items'.  6. Configure the policy to be 'Required'.",ADO_PROJECT_ALLREPOSITORIES_BRANCHPOLICY_CHECK_FOR_LINKED_WORK_ITEMS
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2040,All Repositories - Branch Policies - Limit merge types,"Protect important branches across all repositories in this project. Enable the 'Limit merge types' branch policy, so that you control the branch history by limiting the available types of merge when pull requests are completed. This policy will ensure consistent branch history by enforcing a merge strategy for pull request completion. Defaults to 'Basic merge (no fast-forward)' - Preserves history exactly as it happened during development. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-policies#limit-merge-types https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Branch Policies' section, click on a branch from the list or click '+' to add a branch protection across all repositories.  5. On the page 'Cross-Repository policies for' selected branch, under 'Branch Policies' section, turn 'On' the policy 'Limit merge types'.  6. Configure the policy to match your standards and update the policy definition.",ADO_PROJECT_ALLREPOSITORIES_BRANCHPOLICY_LIMIT_MERGE_TYPES
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2060,All Repositories - Branch Policies - Require a minimum number of reviewers,"Protect important branches across all repositories in this project. Enable the 'Require a minimum number of reviewers' branch policy, so that every pull request gets reviewed by at least two approvers. This policy will ensure that a minimum number of reviewers have approved a pull request before completion. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#repositories-and-branches https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-policies#require_reviewers https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Branch Policies' section, click on a branch from the list or click '+' to add a branch protection across all repositories.  5. On the page 'Cross-Repository policies for' selected branch, under 'Branch Policies' section, turn 'On' the policy 'Require a minimum number of reviewers'.  6. Configure the policy to match your standards and the current policy definition: Minimum number of reviewers: 2, Prohibit the most recent pusher from approving their own changes: ON, When new changes are pushed: ON (Require at least one approval on the last iteration).",ADO_PROJECT_ALLREPOSITORIES_BRANCHPOLICY_REQUIRE_MIN_REVIEWERS
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2050,All Repositories - Branch Policies - Require Build Validation,"Protect important branches across all repositories in this project. Enable the 'Build Validation' branch policy, so that you require pull request changes to build successfully before the PR can complete. The build policy evaluates the build results to determine whether the PR can be completed. Build must succeed in order to complete pull requests. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/branch-policies#build-validation https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Branch Policies' section, click on a branch from the list or click '+' to add a branch protection across all repositories.  5. On the page 'Cross-Repository policies for' selected branch, under 'Build Validation' section, click on '+' button to add a new build policy.  6. Ensure at least one policy is enabled.",ADO_PROJECT_ALLREPOSITORIES_BRANCHPOLICY_REQUIRE_BUILD_VALIDATION
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2080,All Repositories - Repository Policies - Commit author email validation,"Enable the 'Commit author email validation' branch policy, so that you block commits to a repository by commit authors whose email addresses don't match a pattern. This policy will block pushes from including commits where the author email does not match the specified patterns. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/git/repository-settings?#commit-author-email-validation-policy https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices#repositories-and-branches","1. Navigate to Project Settings.  2. Open the Repositories link under Repos.  3. Under 'All Repositories' page, click on Policies tab.  4. Under 'Repository Policies' section, turn 'On' the policy 'Commit author email validation' and configure the author email patterns.",ADO_PROJECT_ALLREPOSITORIES_REPOPOLICY_COMMIT_AUTHOR_EMAIL_VALIDATION
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS1310,Enable Advanced Security for new Repositories,Automatically enable Advanced Security for new repositories. New repositories in this project will be initialized with Advanced Security enabled by default. Advanced Security can be disabled on a repository at any time. Advanced Security is billed based on the number of unique active committers across all enabled repositories in your subscription. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/security/configure-github-advanced-security-features,1. Go to Project Settings.  2. Select Repos -> Repositories.  3. Select the Settings tab.  4. Turn 'On' the setting 'Automatically enable Advanced Security for new repositories'.,ADO_PROJECT_ADVANCEDSECURITY_ENABLE_FOR_NEW_REPOS
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,High,DOS2327,Pipelines - Variable group secrets should only be linked to a key vault,"Link an existing Azure key vault to a variable group and map selective vault secrets to the variable group. When a variable group is not linked to a key vault, it is important to ensure that it does not contain any secrets. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/library/variable-groups#link-secrets-from-an-azure-key-vault https://learn.microsoft.com/en-us/azure/devops/pipelines/library/variable-groups?tabs=classic https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?#tasks","1. Navigate to Project -> Pipelines -> Library  2. Select a variable group.  3. In the Variable groups page, enable Link secrets from an Azure key vault as variables.",ADO_PROJECT_PIPELINES_LIBRARY_VARIABLEGROUP_LINK_SECRETS_FROM_AKV
Project,ADO Secure Projects - General,Secure your projects by ensuring private visibility and validating the settings.,Medium,DOS2130,A project must have at least 2 and no more than 5 administrators,"Your project should have at least 2 and at most 5 Project Administrators. To reduce the risk of losing admin access, you may want to ensure at least 2 users are part of the Project Administrators group. Limit the number of administrators to no more than 5 for your project. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/look-up-project-administrators",1. Go to Project Settings.  2. Click on General -> Permissions.  3. Groups - Select ' Project Administrators'.  4. Review all members of this group.,ADO_PROJECT_LIMIT_MIN_MAX_ADMINS
